iter	Passed	Remaining
0	58	50431
1	87	37636
2	117	33713
3	143	30720
4	174	29853
5	185	26476
6	198	24257
7	221	23577
8	247	23472
9	272	23228
10	298	23078
11	323	22871
12	344	22460
13	382	23144
14	393	22173
15	422	22320
16	446	22150
17	486	22789
18	513	22772
19	528	22238
20	552	22104
21	571	21798
22	590	21521
23	620	21635
24	659	22064
25	691	22206
26	708	21877
27	742	22084
28	778	22336
29	806	22348
30	822	22020
31	840	21773
32	854	21442
33	872	21233
34	898	21199
35	927	21260
36	940	20938
37	962	20840
38	974	20541
39	1016	20868
40	1027	20544
41	1041	20316
42	1069	20342
43	1091	20274
44	1112	20164
45	1157	20515
46	1172	20300
47	1201	20346
48	1221	20240
49	1232	19983
50	1244	19761
51	1270	19766
52	1281	19542
53	1299	19419
54	1319	19337
55	1339	19260
56	1355	19113
57	1383	19153
58	1393	18939
59	1409	18814
60	1431	18775
61	1468	18923
62	1497	18970
63	1517	18892
64	1530	18743
65	1543	18596
66	1565	18550
67	1580	18429
68	1608	18458
69	1631	18438
70	1663	18512
71	1694	18569
72	1710	18465
73	1733	18436
74	1755	18397
75	1780	18391
76	1804	18370
77	1819	18267
78	1845	18271
79	1884	18394
80	1973	19005
81	2017	19167
82	2045	19177
83	2112	19536
84	2168	19793
85	2190	19741
86	2216	19719
87	2269	19935
88	2303	19979
89	2330	19962
90	2403	20333
91	2448	20466
92	2492	20580
93	2529	20640
94	2567	20704
95	2635	21004
96	2673	21059
97	2707	21083
98	2728	20999
99	2742	20872
100	2766	20815
101	2798	20822
102	2830	20828
103	2851	20756
104	2880	20736
105	2898	20645
106	2957	20841
107	2985	20816
108	3006	20741
109	3035	20725
110	3059	20670
111	3113	20823
112	3157	20904
113	3194	20931
114	3235	20988
115	3274	21031
116	3322	21130
117	3349	21088
118	3362	20969
119	3380	20872
120	3409	20852
121	3473	21037
122	3510	21063
123	3547	21087
124	3588	21128
125	3606	21037
126	3632	20994
127	3658	20949
128	3702	21011
129	3719	20914
130	3733	20804
131	3776	20857
132	3805	20827
133	3829	20777
134	3874	20836
135	3920	20897
136	3938	20813
137	3959	20741
138	3990	20725
139	4024	20726
140	4064	20754
141	4085	20688
142	4108	20629
143	4129	20563
144	4153	20510
145	4176	20453
146	4190	20355
147	4205	20259
148	4225	20192
149	4261	20197
150	4281	20132
151	4300	20057
152	4318	19983
153	4340	19926
154	4357	19849
155	4373	19763
156	4411	19780
157	4455	19825
158	4485	19803
159	4507	19747
160	4547	19769
161	4582	19772
162	4635	19849
163	4664	19824
164	4694	19802
165	4750	19888
166	4779	19861
167	4810	19843
168	4851	19864
169	4865	19775
170	4902	19782
171	4923	19720
172	4958	19718
173	4990	19705
174	5028	19711
175	5051	19661
176	5074	19609
177	5114	19623
178	5160	19661
179	5180	19599
180	5214	19591
181	5246	19572
182	5263	19500
183	5278	19422
184	5299	19364
185	5328	19337
186	5345	19265
187	5365	19207
188	5384	19146
189	5404	19085
190	5440	19085
191	5458	19018
192	5479	18965
